meas,index,voice,loc,tick,sec,dur,rval,dot_cnt,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,pedal,dyn,even,tempo
302,363,3,9208,0,11.632068,28,32.0,0,C#4,ppp+,6,144,61,17,,,,,,,,
302,364,3,9210,0,11.668524,57,16.0,0,A1,ppp+,6,144,33,45,,,,,,,,
,365,,,0,11.69196,,,,,,,176,64,106,,,,,,,,
,366,,,0,11.702376,,,,,,,176,64,107,,,,,,,,
,367,,,0,11.746644,,,,,,,144,61,0,,,,,,,,
,368,,,0,11.767476,,,,,,,144,33,0,,,,,,,,
,369,,,0,11.772684,,,,,,,176,64,106,,,,,,,,
,370,,,0,11.7831,,,,,,,176,64,107,,,,,,,,
,371,,,0,11.793516,,,,,,,176,64,106,,,,,,,,
,372,,,0,11.801328,,,,,,,176,64,107,,,,,,,,
302,373,3,9212,0,11.8482,29,32.0,0,F#2,pp-,7,144,42,47,,,,,,,e,
,374,,,0,11.882052,,,,,,,176,64,106,,,,,,,,
,375,,,0,11.895072,,,,,,,176,64,107,,,,,,,,
,376,,,0,11.9133,,,,,,,176,64,106,,,,,,,,
303,377,3,9215,0,11.921112,28,32.0,0,C#4,pp-,7,144,61,19,,,,,,,e,
,378,,,0,11.921112,,,,,,,176,64,107,,,,,,,,
,379,,,0,11.99142,,,,,,,176,64,106,,,,,,,,
,380,,,0,12.001836,,,,,,,176,64,107,,,,,,,,
,381,,,0,12.027876,,,,,,,144,61,0,,,,,,,,
303,382,3,9216,0,12.038292,28,32.0,0,A1,pp-,7,144,33,55,,,,,,,e,
,383,,,0,12.0435,,,,,,,144,42,0,,,,,,,,
,384,,,0,12.061728,,,,,,,176,64,106,,,,,,,,
,385,,,0,12.072144,,,,,,,176,64,107,,,,,,,,
,386,,,0,12.103392,,,,,,,176,64,106,,,,,,,,
,387,,,0,12.111204,,,,,,,176,64,107,,,,,,,,
,388,,,0,12.14766,,,,,,,144,33,0,,,,,,,,
303,389,3,9218,0,12.191928,28,32.0,0,C#4,pp,8,144,61,18,,,,,,,e,
,390,,,0,12.223176,,,,,,,176,64,106,,,,,,,,
,391,,,0,12.230988,,,,,,,176,64,107,,,,,,,,
,392,,,0,12.280464,,,,,,,144,61,0,,,,,,,,
,393,,,0,12.283068,,,,,,,176,64,106,,,,,,,,
,394,,,0,12.293484,,,,,,,176,64,107,,,,,,,,
,395,,,0,12.301296,,,,,,,176,64,106,,,,,,,,
,396,,,0,12.311712,,,,,,,176,64,107,,,,,,,,
,397,,,0,12.322128,,,,,,,176,64,106,,,,,,,,
,398,,,0,12.332544,,,,,,,176,64,107,,,,,,,,
303,399,3,9219,0,12.361188,29,32.0,0,F#2,pp,8,144,42,43,,,,,,,e,
,400,,,0,12.392436,,,,,,,176,64,106,,,,,,,,
303,401,3,9221,0,12.402852,28,32.0,0,C#4,pp,8,144,61,26,,,,,,,,
,402,,,0,12.413268,,,,,,,176,64,107,,,,,,,,
,403,,,0,12.428892,,,,,,,144,42,0,,,,,,,,
